recording_id,audio_path,text,duration,num_segments
825780,audio_16k/825780.wav,अब काफी अच्छा होता है क्योंकि उनकी जनसंख्या बहुत कम दी जा रही है,443,18
825727,audio_16k/825727.wav,हम वहां गए थे कुड़रमा घाटी तरफ पर दिवोग काफी जंगली एरिया है,443,16
988596,audio_16k/988596.wav,जंगल का सफर होता है जब हम रहने के लिए गए थे,475,14
990175,audio_16k/990175.wav,डर लगता है लेकिन बहुत सारे थे तो पता सब अपना अपना कैम्प डाल के रह रहा था,475,15
526266,audio_16k/526266.wav,हां तो फिर वहां जो दिन भर तो दिन में तो खोजने में वक्त बीत गया,380,12
520199,audio_16k/520199.wav,अजीब सा आवाज आने लगा बहुत अजीब सा डर तो इतना लगा था,390,11
542785,audio_16k/542785.wav,पहली बारी था क्योंकि चलना नहीं आता न वहाँ का जो लैंड एरिया होता है,410,13
494019,audio_16k/494019.wav,वो अपनी भाषा में बात कर रहे थे तो फिर हम को छोड़ दिए,420,14
523045,audio_16k/523045.wav,आपको पता है जब तंबू गाड़ के रहते हैं ना हम लोग टेंट वगेरा,350,10
522951,audio_16k/522951.wav,रोड पे होता है न रोड का जो एरिया वो रोड पे हम लोग को छोड़ने आए,440,15
240907,audio_16k/240907.wav,बहुत अजीब सा अनुभव था क्योंकि वो उठा उठा के उनको पटक रहे थे,460,16
240909,audio_16k/240909.wav,उनको लगा कि शायद उनको खतरा महसूस हो रहा था हम लोग से,380,12
270153,audio_16k/270153.wav,हां बाहरी आ गया तो वहां के जो थे ना वो अपने भाषा में कुछ बात किए,420,14
270150,audio_16k/270150.wav,सुबह दस बज गया था और जो जन जाती हैं हमने हां सुना है,390,13
475392,audio_16k/475392.wav,हम लोग की तो सुबह होती है की मम्मी उठाने आती है,350,11
475356,audio_16k/475356.wav,लगता है कि सर सुबह हो गया लेकिन कोई उठाने वाला नहीं था,370,12
615351,audio_16k/615351.wav,अराम से हां आराम से सो रहे थे हम और पता है जब उठे,360,11
615319,audio_16k/615319.wav,जहां डर रहेगा वहा थोड़ा सा मजा आएगा वहा पर मजा आएगा,340,10
270296,audio_16k/270296.wav,और फिर अमेजन का जंगल होता है ना वो उससे भी थोड़ा जुड़ा हुआ है,380,12
270291,audio_16k/270291.wav,पता है लेकिन जब लोग घूमने जाते हैं तो लाइट वगैरा लेकर जाने चाहिए,400,13
365033,audio_16k/365033.wav,अनुभव करके कुछ लिखना था तो वह तो बिना देखिए नहीं हो सकती थी,430,14
365059,audio_16k/365059.wav,हम्म हम लोग की तो सुबह होती है की मम्मी उठाने आती है,350,11
239492,audio_16k/239492.wav,टेंट गड़ा और रहा तो जब पता जैसी रात हुआ ना शाम मतलब,410,13
241695,audio_16k/241695.wav,इधर उधर काफी इधर जाओ तो उधर लुढ़क जाओगे,320,10
350297,audio_16k/350297.wav,वो मम्मी नहीं उठाने के लिए वो लोग उठाने के लिए आए थे,390,13
350347,audio_16k/350347.wav,अब पता है कैसे उठाएं उठा के हम को बाहर कर दिया टेंट से,400,13
269794,audio_16k/269794.wav,हां तो फिर वहां जो दिन भर खोजने में वक्त बीत गया,370,12
269383,audio_16k/269383.wav,रात को मतलब जैसे छः सात आठ किलोमीटर में नौ बजे है,360,11
240994,audio_16k/240994.wav,शांति लेकिन सुकुन बहुत मिला और जैसे सुबह हुआ ना जैसे घर में,410,13
243702,audio_16k/243702.wav,उनकी जनसंख्या बहुत कम दी जा रही है तो हमें उनको देखना था,430,14
629868,audio_16k/629868.wav,जंगल का सफर होता है नातो चाहते के साथ जैसे हम वहाँ पहले एंटर किये,450,15
629862,audio_16k/629862.wav,पहले तो गिर गया थे लगड़ा के उपर से नीचे,320,10
302506,audio_16k/302506.wav,हम वहां गया थे कुड़रमा घाटी तरफ पर दिवोग काफी जंगली एरिया है,440,14
302503,audio_16k/302503.wav,खांड जनजाति पाए जाती ना वहां पाए जाती है,350,11
645534,audio_16k/645534.wav,अगर कोई आता तो हम टैंट उखाड़ ही बाग जाते लेकिन कुछ आया नहीं,420,13
644742,audio_16k/644742.wav,ऐसा ही बात था तो पता है रात को मतलब जैसे छः सात,380,12
238123,audio_16k/238123.wav,सुकुन बहुत मिला और जैसे सुबह हुआ ना जैसे घर में तो,360,11
238079,audio_16k/238079.wav,तो काम करो वो काम करो तो लगता है कि सर सुबह हो गया,390,12
663529,audio_16k/663529.wav,हम्म हम लोग की तो सुबह होती है की मम्मी उठाने आती है,350,11
